variable,results,se,(lower,upper),missInfo,Beta,ll,ul,z,p.value,outcome,stars,Beta_round,p_value_round,Beta_star
math_level.Q:teach_treat_std,0.009022926396626765,0.016160174841944146,-0.022687357250338394,0.04073321004359193,14 %,0.009022926396626765,-0.022687357250338394,0.04073321004359193,0.558343364776446,0.5766099384242245,interest,,0.01,0.577,0.01
math_level.C:teach_treat_std,-0.01259748756068253,0.013786698383363055,-0.03969322443704687,0.014498249315681812,21 %,-0.01259748756068253,-0.03969322443704687,0.014498249315681812,-0.9137421600435103,0.3608523451448975,interest,,-0.01,0.361,-0.01
(Intercept),-0.4149193874152021,0.09632370407631481,-0.6038327313975981,-0.22600604343280617,10 %,-0.4149193874152021,-0.6038327313975981,-0.22600604343280617,-4.307552241621357,1.650711162826113e-5,utility,***,-0.41,0,-0.41***
time,0.02306963595178097,0.017542223467207668,-0.011365561560410166,0.05750483346397211,16 %,0.02306963595178097,-0.011365561560410166,0.05750483346397211,1.3150918978375747,0.18847901924913546,utility,,0.02,0.188,0.02
math_level.L,-0.07573651779023571,0.03526482024619629,-0.1450318103529677,-0.006441225227503733,20 %,-0.07573651779023571,-0.1450318103529677,-0.006441225227503733,-2.1476507539664764,0.03174151024957217,utility,*,-0.08,0.032,-0.08*
math_level.Q,0.0901271777828982,0.027756731025618177,0.03567302625475183,0.14458132931104456,12 %,0.0901271777828982,0.03567302625475183,0.14458132931104456,3.247038626404348,0.0011661256229356098,utility,**,0.09,0.001,0.09**
math_level.C,0.1256679128952083,0.02306258977391176,0.08045086259207873,0.17088496319833785,7 %,0.1256679128952083,0.08045086259207873,0.17088496319833785,5.448993982339441,5.065552710625809e-8,utility,***,0.13,0,0.13***
teach_treat_std,0.24676317546656742,0.010050419315094,0.22705199320191985,0.266474357731215,10 %,0.24676317546656742,0.22705199320191985,0.266474357731215,24.552525395231186,0,utility,***,0.25,0,0.25***
ses,-0.05731431710284486,0.013063752644789177,-0.08292526980465449,-0.03170336440103523,6 %,-0.05731431710284486,-0.08292526980465449,-0.03170336440103523,-4.387278193429833,1.1477794569003663e-5,utility,***,-0.06,0,-0.06***
first_langEnglish only,-0.07735406801451403,0.0587318262330747,-0.19251056048515225,0.03780242445612418,8 %,-0.07735406801451403,-0.19251056048515225,0.03780242445612418,-1.3170724116007864,0.18781435354453158,utility,,-0.08,0.188,-0.08
